athlete_code,name,gender,country_code,country,nationality_code,nationality,disciplines,events,birth_date,birth_country,hobbies,occupation,lang,reason,hero,medal_type,medal_code,medal_date,has_medal
1533208,MAAROUFOU Hachim,Male,COM,Comoros,COM,Comoros,['Athletics'],"[""Men's 100m""]",1997-02-13,France,,Athlete,French,"Started training in athletics to improve his cardio for football. He eventually turned his focus to athletics after his football coach told his players they should play for league relegation in 2015. ""It was unthinkable for me to play to lose."" (lamarseillaise.fr, 17 Jul 2003)",,None,None,None,False
1533209,SAADI Maesha,Female,COM,Comoros,COM,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,France,,"Athlete, student",French,Recruited into the Comoros Swimming Federation after her first competition,,None,None,None,False
1533230,DIOSDADO Nuria,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,Mexico,"Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier",Spanish,"Began artistic swimming to combat her hyperactivity and found it was a good way to express herself. At age 12, she was inspired to greatness by the Mexican team at the 2003 World Championships in Barcelona. “I am an example that you can get where you want with attitude and not exactly with aptitude. I was not a star child, nor did I demonstrate the qualities to do this sport when I was little."" (altonivel.com.mx, 6 Jan 2020)","Spanish artistic swimmer Gemma Mengual, 2008 Olympic silver medallist in duet and team",None,None,None,False
1533231,JIMENEZ Joana,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,Mexico,Dancing,"Athlete, sport soldier",Spanish,"Her parents enrolled her in sporting activities such as athletics, basketball and swimming. During swimming lessons she discovered artistic swimming and was hooked. After feeling disappointed that she was not improving, however, she went back to athletics and took part in a junior national competition. A former coach encouraged her to return to artistic swimming and, at age 14, she decided to focus on it full-time. ""During a competition in Oaxtepec, Mexico, the first team was doing an exhibition and I was told they represented the national team. I said, 'Does that really exist?' And, at that moment, I wanted to be on that team and to represent Mexico."" (myInfo)",,None,None,None,False
1533232,SOBRINO Jessica,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],1994-05-26,Mexico,"Going to the movies, going to restaurants",Athlete,Spanish,Followed her sister into artistic swimming,,None,None,None,False
1533234,ALFEREZ Regina,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],1997-12-01,,"Travel, photography, cooking, spending time with friends",Athlete,Spanish,,,None,None,None,False
1533235,ARELLANO Fernanda,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],2002-02-28,,,"Athlete, student",Spanish,Trained in swimming since she was a young child and started artistic swimming after she was intrigued watching a practice one day,,None,None,None,False
1533237,TOSCANO Pamela,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],2000-01-13,,Choreography,"Athlete, sport soldier",Spanish,,,None,None,None,False
1533239,GONZALEZ Itzamary,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],2003-11-14,,,Athlete,Spanish,,,None,None,None,False
1533240,RODRIGUEZ Samanta,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],1994-12-05,,,Athlete,Spanish,"Her mother enrolled her in swimming lessons because she herself did not know how to swim and worried for her children at the beach. When Rubio was a strong enough swimmer, her mother was given a choice between the aquatic sports, and she picked artistic swimming",,None,None,None,False
1533243,INZUNZA Glenda,Female,MEX,Mexico,MEX,Mexico,['Artistic Swimming'],['Team'],2000-03-12,,,,,,,None,None,None,False
1533245,SEHEN Sajjad,Male,IRQ,Iraq,IRQ,Iraq,['Judo'],['Men -81 kg'],1996-03-08,Iraq,,,Arabic,,,None,None,None,False
1533359,RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,IRQ,Iraq,['Weightlifting'],"[""Men's +102kg""]",2004-08-02,,,Athlete,Arabic,,,None,None,None,False
1533364,ISMAIL Mohamed,Male,DJI,Djibouti,DJI,Djibouti,['Athletics'],"[""Men's 5000m""]",1997-01-01,Djibouti,,"Athlete, sport soldier","French, Somali","Attended a primary school located three kilometres from his home, which helped build his endurance. Was spotted in middle school during sports classes and got selected to join the sport-study training programme in Ali-Sabieh","Middle-distance runner Ayanleh Souleiman (DJI), 2016 Olympic 1500m finalist, 2013 World Championships 800m bronze medallist, 2014 World Indoor Championships 1500m gold medallist",None,None,None,False
1533371,HASSAN Ibrahim,Male,DJI,Djibouti,DJI,Djibouti,['Athletics'],"[""Men's Marathon""]",1997-01-01,,,"Athlete, soldier with the Djiboutian Republican Guard",Somali,,"Marathoner Ahmed Salah (DJI), 1988 Olympic bronze medallist, four-time Olympian (1984, 1988, 1992, 1996), two-time world championships silver medallist (1987, 1991)",None,None,None,False
1533372,WAISS Abdi,Male,DJI,Djibouti,DJI,Djibouti,['Athletics'],"[""Men's 5000m""]",1996-07-03,Djibouti,,"Athlete, sport soldier","French, Somali",,,None,None,None,False
1533374,HASSAN NOUR Samiyah,Female,DJI,Djibouti,DJI,Djibouti,['Athletics'],"[""Women's 5000m""]",1999-12-05,,,"Athlete, sport soldier",,,,None,None,None,False
1533378,HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,DJI,Djibouti,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04,,,,"English, French",,,None,None,None,False
1535180,BARAT Andy,Male,COM,Comoros,COM,Comoros,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29,Comoros,,,French,"Was introduced to canoeing by his cousin, a member of the Club de Canoe-Kayak de Clisson in Loire-Atlantique",,None,None,None,False
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,MEX,Mexico,MEX,Mexico,['Boxing'],"[""Men's 63.5kg""]",2001-03-17,Mexico,,,Spanish,,,None,None,None,False
1535187,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,MEX,Mexico,['Boxing'],"[""Men's 71kg""]",2002-02-11,Mexico,,,Spanish,"Played baseball for seven or eight years, before following his father Manuel into boxing - even though Manuel wanted Marco to stick with a baseball glove rather than switch to boxing gloves",,Silver Medal,2.0,2024-08-09,True
1535191,GONZALEZ Alegna,Female,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02,Mexico,,"Athlete, serves in the navy",Spanish,,"Race walker Raul Gonzalez (MEX), two-time 1984 Olympic medallist (50km gold, 20km silver), four-time Olympian (1972, 1976, 1980, 1984), three-time world race walking cup 50km champion (1977, 1981, 1983) and his coach, 1996 Olympian Ignacio Zamudio (MEX)",None,None,None,False
1535195,LOPEZ Jesus Tonatiu,Male,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Men's 800m""]",1997-08-02,Mexico,"Reading, listening to music, puzzles",Athlete,Spanish,"Began playing American football at an early age. His coach saw he had potential for athletics and advised his family to enrol him in the sport. ""I didn't like it at all. I was around eight or nine and I didn't want to go to training because I'd rather go with my friends to play video games. But things changed."" (myInfo)",His parents,None,None,None,False
1535199,PORTILLO Erick,Male,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Men's High Jump""]",2000-10-05,Mexico,,Athlete,Spanish,,,None,None,None,False
1535201,MUNOZ Uziel,Male,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Men's Shot Put""]",1995-09-08,Mexico,,Athlete,Spanish,,,None,None,None,False
1535202,del REAL Diego,Male,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06,Mexico,,Athlete,"English, Spanish","“I did not understand the link between American football and hammer throw, but I started to train. My coach made me love this uncommon specialty (hammer). I decided to stay when I weighed up my options. I knew that to get into the NFL (professional American football), many things were needed and they did not depend on my physical capacity. This one (hammer) is an individual sport, and the responsibility is mine. I have control over my results.” (proceso.com.mx, 29 Jan 2017)",,None,None,None,False
1535203,DOCTOR Jose Luis,Male,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14,Mexico,,Athlete,Spanish,,,None,None,None,False
1535212,MORAN Paola,Female,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Women's 400m""]",1997-02-25,Mexico,"Reading, watching television and walking her dog. Loves tacos",Athlete,Spanish,"She decided to pursue a career in the sport after serving as a volunteer at the athletics competition of the 2011 Pan American Games in Guadalajara, Mexico. ""I carried the athletes' belongings and I admired them. It was so exciting. They inspired me to keep going in my sport."" (Juegos Lima 2019 YouTube channel, 7 Aug 2019)","Hurdler Sydney McLaughlin-Levrone (USA), two-time 2020 Olympic champion (400m hurdles, 4x400m relay), four-time world championship medallist (three gold, one silver)",None,None,None,False
1535214,GALVAN Laura,Female,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Women's 5000m""]",1991-10-05,Mexico,"Loves chilaquiles, a Mexican breakfast dish, and listening to podcasts",Athlete,"English, Spanish",,,None,None,None,False
1535216,CORTES Alma Delia,Female,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Women's 5000m""]",1997-12-26,Mexico,,Athlete,Spanish,,Distance runner Marisol Romero (MEX),None,None,None,False
1535217,CRISTIAN MOSCOTE Citlali,Female,MEX,Mexico,MEX,Mexico,['Athletics'],"[""Women's Marathon""]",1995-04-15,Mexico,,Athlete,Spanish,,,None,None,None,False
1535222,PALMA OLIVARES Ever Jair,Male,MEX,Mexico,MEX,Mexico,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18,Mexico,"Travelling, learning about foreign cultures.</p><p>Started learning French for nine months ahead of the 2024 Paris Olympic Games, but upon his arrival in Paris, realised that the language is more complicated than expected. ""It's not easy at all, but you try."" (esto.com.mx, 26 Jul 2024)","Athlete, entrepreneur",Spanish,"Practiced taekwondo in his youth. At the age of 11, he and his brothers were invited to an athletic race. There, they were approached by a coach named Fernando Infante, who suggested they join a summer training program and introduced them to race walking",,None,None,None,False
1535225,OETLING RAMIREZ Elena,Female,MEX,Mexico,MEX,Mexico,['Sailing'],"[""Women's Dinghy""]",1993-04-18,Mexico,Reading,"Athlete, business owner","English, German, Spanish","Her parents and grandfather sail. “Sailing is a tough sport because it pits you against nature. You suddenly find yourself in the middle of the bay, far away from land and you have only water surrounding you. Being able to finish the competition to say, 'Wow, I did it' is something that motivates me most, because of the toughness of the situation. I think it's an incredible experience."" (jugadapreabricada.com, 17 Feb 2020)",,None,None,None,False
1535226,AGUILAR CHAVEZ PEON Mariana,Female,MEX,Mexico,MEX,Mexico,['Sailing'],"[""Women's Windsurfing""]",1999-03-12,Mexico,,"Athlete, student",Spanish,"To follow after her mother, who was also involved in sailing. Went to her first world championship at age 14, which reinforced her liking to the sport. “It is a sport that is done outdoors, in the sea, the wind; It is a sport where you feel the adrenaline.” (todomenosfutbol.com, 3 Oct 2023)",,None,None,None,False
1535252,LECHUGA ALANIS Kenia,Female,MEX,Mexico,MEX,Mexico,['Rowing'],"[""Women's Single Sculls""]",1994-06-26,Mexico,,Armed Forces athlete,Spanish,"She was invited to try the sport by a rowing club president. ""Where I'm from we have a beautiful place to row called 'La Boca Dam' in Santiago, Mexico. The club president visited the school and invited us to try. At first, I was afraid that I wouldn't be able to, but eventually I fell in love with this sport."" (myInfo)","Rower Martin Sinkovic (CRO), three-time Olympic medallist (two gold, one silver), nine-time world championship medallist (six gold, two silver, one bronze)",None,None,None,False
1535260,LOPEZ GARCIA Alexis,Male,MEX,Mexico,MEX,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1997-05-01,Mexico,,Athlete,Spanish,,,None,None,None,False
1535267,CARBALLO NIETO Miguel,Male,MEX,Mexico,MEX,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1992-07-08,Mexico,,Athlete,Spanish,,,None,None,None,False
1535310,BLANCO Luisa,Female,COL,Colombia,COL,Colombia,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",2001-11-18,United States,,"Athlete, student",English,During winter she could not play football (soccer) in the cold weather so her parents took her to a gymnastics club. Wanted to be a gymnast after the first training session,,None,None,None,False
1535343,WILLARS VALDEZ Randal,Male,MEX,Mexico,MEX,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2002-04-30,Mexico,,Armed forces athlete,Spanish,,,None,None,None,False
1535345,BERLIN REYES Kevin,Male,MEX,Mexico,MEX,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2001-04-25,Mexico,"Electronics, football, supporting Spanish football club Barcelona",Athlete,Spanish,,"Diver Ivan Garcia (MEX), 2012 Olympic 10m synchro silver medallist, 2015 World Championships 10m synchro silver medallist, four-time Pan American Games gold medallist",None,None,None,False
1535346,OROZCO LOZA Alejandra,Female,MEX,Mexico,MEX,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",1997-04-19,Mexico,"Watching movies, spending time with family, music",Armed forces athlete,Spanish,,Diver Paola Espinosa (MEX),None,None,None,False
1535348,AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,MEX,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",2000-08-04,Mexico,,Armed forces athlete,Spanish,,,None,None,None,False
1535349,OLVERA IBARRA Osmar,Male,MEX,Mexico,MEX,Mexico,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",2004-06-05,Mexico,,,,,,Bronze Medal,3.0,2024-08-08,True
1535349,OLVERA IBARRA Osmar,Male,MEX,Mexico,MEX,Mexico,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",2004-06-05,Mexico,,,,,,Silver Medal,2.0,2024-08-02,True
1535350,GARZA PEREZ Eugenio,Male,MEX,Mexico,MEX,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1996-07-23,Mexico,,Athlete,"English, Spanish",,,None,None,None,False
1535351,FERNANDEZ Federico,Male,MEX,Mexico,MEX,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1968-03-28,Mexico,Travelling,In 2004 he launched Grupo SIM which offers business services to small and medium-sized companies in Mexico,"English, Spanish",,"Equestrian show jumper Hugo Simon (AUT), 1992 Olympic bronze team medallist (fourth in the individual ), six-time Olympian (1972, 1976, 1984, 1988, 1992, 1996)",None,None,None,False
1535354,de LARA OJEDA Miguel Alejandro,Male,MEX,Mexico,MEX,Mexico,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",1994-08-09,Mexico,,,Spanish,"As a child, he was diagnosed with asthma and was encouraged to swim to help the condition",,None,None,None,False
1535356,MORENO Alexa,Female,MEX,Mexico,MEX,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1994-08-08,Mexico,"Anime, karaoke",Athlete,"English, Spanish",Her mother enrolled her in the sport,"Artistic gymnast Oksana Chusovitina (UZB), eight-time Olympian winning 1992 individual all-around gold (for EUN) and 2008 vault Olympic silver (GER); 11-time world championship medallist (three gold, four silver, four bronze).</p><p>Artistic gymnast Alicia Sacramone (USA), 2008 Olympic team all-around silver medallist; eight-time world championship medallist (four gold, four silver, two bronze).</p><p>Artistic gymnast Kohei Uchimura (JPN), seven-time Olympic medallist (three gold, four silver) winning back-to-back individual all-around gold (2012, 2016), 20-time world championship medallist with 10 gold (six individual all-around titles)",None,None,None,False
1535357,SANDOVAL Ahtziri,Female,MEX,Mexico,MEX,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1996-10-05,Mexico,,Athlete,Spanish,"Her parents enrolled her because she was so energetic. ""I was jumping everywhere, to the point that my parents didn’t know how to control that restlessness, so I was taken to exploit my energy at a small artistic gymnastics gym. I ended up falling in love with the sport.” (intlgymnast.com, 12 Mar 2024)",,None,None,None,False
1535358,FLORES Sofia,Female,MEX,Mexico,MEX,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2004-12-20,Mexico,,Athlete,"English, Spanish",,,None,None,None,False
1535359,SALAZAR Kimberly,Female,MEX,Mexico,MEX,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2004-04-24,Mexico,,Athlete,Spanish,"She had been training in athletics but when she saw rhythmic gymnasts training in Xalapa, Mexico, their flexibility caught her attention and she decided to take up the sport",,None,None,None,False
1535360,TEJEDA Adirem,Female,MEX,Mexico,MEX,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2002-06-21,,,Athlete,Spanish,,,None,None,None,False
1535361,ALCOCER Dalia,Female,MEX,Mexico,MEX,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2004-01-02,Mexico,,Athlete,Spanish,,,None,None,None,False
1535362,GUTIERREZ Julia,Female,MEX,Mexico,MEX,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2007-09-13,Mexico,,Athlete,Spanish,,,None,None,None,False
1535363,HERNANDEZ Emiliano,Male,MEX,Mexico,MEX,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",1998-01-27,Mexico,"Playing football, watching movies",,"English, Spanish","His parents were still studying when they raised him and his older brother Ismail. They found a pentathlon club where they could leave the boys when they were finished school at 3pm until they picked them up at 8pm each day after finishing their work. Later, Emiliano followed Ismael into the sport full-time",,None,None,None,False
1535364,CARRILLO Duilio,Male,MEX,Mexico,MEX,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",1997-03-24,Mexico,Folk dancing (he is member of the Mexican Folk Dance Company),Armed Forces athlete,Spanish,Followed his siblings into the sport and later moved to Mexico City (MEX) to train at the Mexican Olympic Committee national centre at age 20,,None,None,None,False
1535365,OLIVER Mayan,Female,MEX,Mexico,MEX,Mexico,['Modern Pentathlon'],"[""Women's Individual""]",1993-07-11,Mexico,,,Spanish,,,None,None,None,False
1535366,SANSORES Carlos,Male,MEX,Mexico,MEX,Mexico,['Taekwondo'],['Men +80kg'],1997-06-25,Mexico,,Athlete,Spanish,"He began taekwondo to lose weight. ""When I was a teenager, my weight was a problem. I weighed 100kg. I needed to exercise for health reasons. Taekwondo caught my attention when I saw (Mexican taekwondo athlete) Maria Espinoza win her gold medal at the 2008 Olympic Games in Beijing. That convinced me that I should get into the sport to control my weight. Now I have made it my way of life."" (myInfo)",,None,None,None,False
1535367,SOUZA Daniela Paola,Female,MEX,Mexico,MEX,Mexico,['Taekwondo'],['Women -49kg'],1999-08-27,Mexico,,Military athlete,Spanish,,,None,None,None,False
1535368,CLELAND QUINONEZ Alan,Male,MEX,Mexico,MEX,Mexico,['Surfing'],['Men'],2002-06-19,Mexico,,Athlete,"England, Spanish",,"Surfer Kelly Slater (USA), 11-time world champion",None,None,None,False
1535373,GRIGORIAN Aram,Male,UAE,UA Emirates,UAE,UA Emirates,['Judo'],['Men -90 kg'],1998-06-09,Russian Federation,Fishing and cinema,Athlete,Russian,His father took him to judo,"Wrestler Alexander Karelin (RUS), four-time Olympic medallist (three gold, one silver) between 1988-2000, nine-time world champion between 1989-1999.</p><p>Wrestler Buvaisar Saitiev (RUS), three-time Olympic 74kg champion (1996, 2004, 2008), six-time world champion (1995, 1997, 1998, 2001, 2003, 2005)",None,None,None,False
1535374,KOSTOEV Dzhafar,Male,UAE,UA Emirates,UAE,UA Emirates,['Judo'],['Men -100 kg'],1999-04-28,Russian Federation,,Athlete,"Arabic, Russian",,,None,None,None,False
1535375,MAGOMEDOMAROV Magomedomar,Male,UAE,UA Emirates,UAE,UA Emirates,['Judo'],['Men +100 kg'],2001-04-10,Russian Federation,,Athlete,Russian,,,None,None,None,False
1535376,TATALASHVILI Nugzari,Male,UAE,UA Emirates,UAE,UA Emirates,['Judo'],['Men -81 kg'],1990-03-20,Georgia,Sports cars,,"English, Georgian, Russian","""I live by this and love this method."" (Athlete, 26 May 2024)",,None,None,None,False
1535383,BISHRELT Khorloodoi,Female,UAE,UA Emirates,UAE,UA Emirates,['Judo'],['Women -52 kg'],1998-05-29,Mongolia,"Riding horses and dancing. ""I dance very well but I'm shy."" (Athlete, 19 Apr 2024)",,Mongolian,As a child she liked taking on boys at Mongolian wrestling and this influenced her a path,"Sprinter Allyson Felix (USA), 11-time Olympic medallist (seven gold, three silver, one bronze); 20-time world championship medallist (14 gold, three silver, three bronze)",None,None,None,False
1535385,HOUSSEIN Alexandre,Male,DJI,Djibouti,DJI,Djibouti,['Judo'],['Men -73 kg'],1998-03-28,France,"Sports, history, travelling","Athlete, student","English, French, Spanish",Needed to channel his energy and wanted to compete in a sport with values,"Judoka Assmaa Niang (MAR), two-time Olympian (2016, 2020), nine-time African championship -70kg medallist (five gold, two silver, two bronze), 2019 Grand Slam bronze medallist",None,None,None,False
1535395,AL SAYEGH Safia,Female,UAE,UA Emirates,UAE,UA Emirates,['Cycling Road'],"[""Women's Road Race""]",2001-09-23,,,"Athlete, student","Arabic, English","She enjoyed going cycling with her father and later decided to pursue the sport competitively after discovering there was a national team in the United Arab Emirates. “I got into cycling in an unexpected way. When in school I did swimming, gymnastics and some athletics. I've collected medals in swimming and gymnastics but unfortunately, the age category was only up to the junior category. There wasn't a competitive senior league. I had to give up swimming and that upset me. But around that time I found out a new UAE women's cycling team was being formed. I was interested in cycling because I did it as a fun activity with my father.” (arabnews, 13 Dec 2022)",,None,None,None,False
1535420,VALENCIA Alejandra,Female,MEX,Mexico,MEX,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1994-10-17,Mexico,"Playing the violin, listening to music, singing, drawing, surfing the internet, watching movies, reading","Athlete, sport soldier",Spanish,"Grew up close to an archery range and was always interested but her parents did not have the money to pay for equipment. One day her sister fell off her bike at the velodrome nearby, and Valencia took the chance to talk to national team coach Miguel Angel Flores about her interest in archery. Flores gave her a bow and let her practise at the range. ""I don't consider archery to be a sport but as a part of me because, even if I wanted to, I cannot stop doing it. On occasions, I've tried (not practising it) to experience how it feels, but I felt awful."" (myInfo)",,Bronze Medal,3.0,2024-07-28,True
1535429,RUIZ Angela,Female,MEX,Mexico,MEX,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team""]",2006-07-28,,,"Athlete, student","English, Spanish",She followed her brothers into archery,,Bronze Medal,3.0,2024-07-28,True
1535430,GRANDE Matias,Male,MEX,Mexico,MEX,Mexico,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2004-04-26,Mexico,,"Athlete, student",Spanish,His father introduced him to the sport and the more he shot the more interested he became in archery,,None,None,None,False
